,priority,q_time,consult_time
299,1.0,3.809578426693406,11.222515865188598
283,3.0,143.67475037987197,12.410744013189287
282,3.0,142.81344551525035,20.0768582079545
284,3.0,159.40812057915764,5.853816300221752
301,2.0,8.29663873623349,11.43338495583339
292,3.0,78.19213085470074,21.174707411186773
288,3.0,139.644265230776,31.951149126728524
303,1.0,17.327255795194105,11.582682814486361
294,3.0,95.7830903249228,11.444870152791736
304,1.0,25.2973568260104,16.94066926111236
295,3.0,103.62667648608931,11.056335957755437
306,2.0,2.9562059826594123,17.854311277383204
307,2.0,6.276981104817423,17.777189407045626
298,3.0,111.15748846831093,16.346113642574437
309,1.0,1.9477182657028607,24.254994834518584
310,1.0,6.501642292122142,28.61547618188115
311,1.0,17.533649068712748,16.16142612484964
315,1.0,7.800589372094237,5.21746334278896
316,1.0,2.7142397944821823,13.117818145839465
314,1.0,9.464446117389798,25.081478636858265
305,3.0,109.55271166288503,9.702109737741011
302,3.0,145.641114488536,16.399016986060815
308,3.0,88.22365794849293,16.725682012609923
317,1.0,11.59441108665169,1.9065750546847084
312,3.0,59.4311421731677,17.657814257085647
318,2.0,8.06092985709347,19.648975941553545
319,1.0,3.428890841769771,22.330637994691187
320,2.0,23.242263805399034,15.853189833687338
322,1.0,0.18553899752805592,16.713128959689584
313,3.0,108.0144076663014,10.627656712571024
321,3.0,35.08588175342402,23.53949089241587
324,3.0,0.0,13.49912545671532
323,3.0,3.0645308025464146,34.209947372265106
325,2.0,13.010262031346429,12.963535726790724
326,2.0,12.674802473719865,9.858765067252989
327,3.0,1.6200426623204294,17.688363935660618
329,1.0,7.6020063004843905,20.383676452601776
328,3.0,0.0,31.7515817759504
330,2.0,16.859301269812477,11.636164243289386
332,1.0,1.1676412939054899,15.670977654327544
331,2.0,26.19558971370816,24.71947628814314
334,1.0,0.8725409740341092,24.199707842291446
333,2.0,20.702522738482003,18.15775405258819
336,1.0,3.1182584682310335,24.930374235558702
335,3.0,32.149359556458876,16.67665074554634
337,3.0,14.846610809597223,7.362288262751008
338,1.0,4.399226928128428,22.231655769454846
339,2.0,0.0,23.456175019722195
340,1.0,8.149313970984622,12.584664977503053
342,1.0,9.055283697706273,13.751508619628112
341,2.0,16.64858860642198,13.434919482840087
344,2.0,0.0,11.262559136900109
343,3.0,0.0,27.77984423387079
348,1.0,12.74462637040051,2.487105382990194
347,1.0,3.9983013953328737,15.513054049471975
349,1.0,9.92659779567748,33.77616168996292
345,2.0,20.78062768282416,32.61959045885169
351,1.0,14.045684685834203,17.83644658062758
350,1.0,13.078433219212457,24.414484433928465
352,1.0,25.219795270864324,11.587378718524178
346,2.0,75.54347550455714,23.558100956733142
353,2.0,23.300671105275796,23.12243055424551
356,2.0,20.556515619020047,18.839657847806848
358,2.0,5.639297380564585,14.534319150182
355,3.0,43.55707918715598,14.040049006747722
354,3.0,58.44674437599133,19.06878168217645
359,1.0,9.40470481227021,14.796017517140172
357,3.0,49.821696617183534,20.14582236955448
361,3.0,18.515538379274858,11.424062398803471
360,3.0,20.224950841071404,20.982529561912997
363,1.0,0.0,6.246517637657689
362,3.0,0.10926151287640096,13.437753432849604
364,2.0,5.133260999789854,6.608399829267
365,1.0,0.0,10.736995000845582
366,2.0,0.0,16.161616715931814
367,3.0,0.0,17.517765562650766
368,2.0,5.56732115261002,6.935246342602113
370,2.0,0.0,12.225570307389717
369,1.0,2.5988342996297433,25.599769072775416
371,2.0,9.433133689556598,25.39366168505876
